mes,media,std,n
1,0.108377375,0.073111646,5
2,0.17365116,0.05303438,5
3,0.07189617,0.09170104,6
4,0.031170806,0.07291413,6
5,0.0074062925,0.03034135,6
6,0.052902445,0.053333748,6
7,0.07487908,0.036234677,6
8,0.021507034,0.0465559,6
9,-0.027693823,0.028130498,6
10,-0.03501649,0.038350374,6
11,-0.0055606575,0.015175369,6
12,0.08393521,0.08535774,5
