Índice,N válidos,N NaN,Mín,P25,Mediana,Média,P75,Máx,Desv Pad
NDVI,19358,11722,0.14045604,0.37432614,0.5031967,0.5377999,0.71137846,0.8819704,0.17845125
EVI,19358,11722,0.0,0.21466337,0.31316566,0.3186399,0.40401986,0.6794692,0.11030772
NDMI,19336,11744,-0.23573264,-0.14002982,0.0029784814,0.021382121,0.15572342,0.41466188,0.16332515
