,NDVI,EVI,NDMI
NDVI,1.0,0.9352774995959726,0.9134850779601246
EVI,0.9352774995959726,1.0,0.8706754738535674
NDMI,0.9134850779601247,0.8706754738535674,0.9999999999999999
