indice,mes,media,mediana,std
EVI,1,0.3015449765790158,0.3857982384522007,0.06638059370209973
EVI,2,0.40311986140632483,0.48703136721145357,0.11161607661514795
EVI,3,0.32899769487595376,0.33338821069063146,0.1005448574397855
EVI,4,0.20919780439324223,0.14734507581812714,0.04941691636604911
EVI,5,0.20836482156360572,0.18123509126219214,0.046966662161651164
EVI,6,0.28095971130881,0.3088171485961746,0.07386130999548632
EVI,7,0.25408619346565037,0.27950739296093524,0.08095806597633771
EVI,8,0.2719252403018913,0.27010615555693096,0.07126615198022924
EVI,9,0.1957447805110444,0.16464483474749927,0.05432609190082984
EVI,10,0.18752406287134496,0.16591776925296498,0.037007352304274634
EVI,11,0.22385100515373205,0.19007586266409032,0.04995087456824069
EVI,12,0.35422676780197515,0.34895756879142137,0.20656809948121485
NDMI,1,0.1083773698657751,0.0846061185002327,0.07311164420918977
NDMI,2,0.17388723641633988,0.2421543151140213,0.05296819098747053
NDMI,3,0.07199714697586994,0.0,0.09175578411375458
NDMI,4,0.03117080481024459,0.0,0.07291412967402768
NDMI,5,0.007376187694414209,0.0,0.030373924670988414
NDMI,6,0.053019229943553604,0.0,0.05360830797505246
NDMI,7,0.07501515505524974,0.0034263026900589466,0.03635422596403716
NDMI,8,0.021615307700509827,0.0,0.04672922160007843
NDMI,9,-0.027810664537052315,0.0,0.02824846397069367
NDMI,10,-0.03510615974664688,0.0,0.03843582861486528
NDMI,11,-0.00558431027457118,0.0,0.015191325350080285
NDMI,12,0.08421550318598747,0.0,0.08577665860420312
NDVI,1,0.4142276406288147,0.5557756423950195,0.07952013415352899
NDVI,2,0.48612724542617797,0.7663164734840393,0.057007854524834374
NDVI,3,0.3905291905005773,0.4041442275047302,0.08314386813466187
NDVI,4,0.3378831346829732,0.237139992415905,0.06270910514689595
NDVI,5,0.3319514791170756,0.2902927100658417,0.027071936412739382
NDVI,6,0.3851759036382039,0.5079015493392944,0.05008256342323581
NDVI,7,0.39697402715682983,0.51494300365448,0.03446324297944283
NDVI,8,0.34393613537152606,0.4046182781457901,0.04026810211942229
NDVI,9,0.28331274539232254,0.26614539325237274,0.03935885060978119
NDVI,10,0.28644075244665146,0.22950805723667145,0.04318933363241443
NDVI,11,0.3122791300217311,0.2717595249414444,0.02565385197091911
NDVI,12,0.3928000330924988,0.49473434686660767,0.09053711974809825
