data,data_str,ano,mes,dia,indice,media,mediana,std,p25,p75,min,max,n_pixels
2020-01-15,20200115,2020,1,15,EVI,0.2230086108732771,0.196037752638326,0.2163886897171704,0.0,0.3960025485548366,0.0,0.8149938668013567,31080
2020-02-14,20200214,2020,2,14,EVI,0.36617533270301356,0.45071791318098076,0.3161770890199756,0.0,0.626960402100443,0.0,1.0185244127570183,31080
2020-03-25,20200325,2020,3,25,EVI,0.3804755718955975,0.49687096403980413,0.3151501086220147,0.0,0.6365666373426344,0.0,0.8914100486223664,31080
2020-04-04,20200404,2020,4,4,EVI,0.3078575240172543,0.3799922449733707,0.25671489236830014,0.0,0.5362384069218401,0.0,0.8416131925757263,31080
2020-05-19,20200519,2020,5,19,EVI,0.15575057748069282,0.1240413372465776,0.16445400483429204,0.0,0.2496296881610567,0.0,0.6963945530233543,31080
2020-06-13,20200613,2020,6,13,EVI,0.22891396284103394,0.16839991509914398,0.12607306241989136,0.13452136516571045,0.34936508536338806,0.04630766063928604,0.616240382194519,19277
2020-07-23,20200723,2020,7,23,EVI,0.18944166109658234,0.20122691054324876,0.17072523661456682,0.0,0.331559418178354,0.0,0.680619763074256,31080
2020-08-27,20200827,2020,8,27,EVI,0.16950782833746497,0.15874644338839283,0.15855615234224577,0.0,0.2919792789351481,0.0,0.6297303255198766,31080
2020-09-26,20200926,2020,9,26,EVI,0.23010650277137756,0.1765066683292389,0.11850309371948242,0.12825828790664673,0.33670854568481445,0.060172516852617264,0.6404818892478943,19277
2020-10-01,20201001,2020,10,1,EVI,0.23421917855739594,0.1782623827457428,0.1268858164548874,0.12653467059135437,0.3479258120059967,0.06578491628170013,0.6633235812187195,19277
2020-11-25,20201125,2020,11,25,EVI,0.21478000901236366,0.18908595408494894,0.1975531870261088,0.0,0.3822474156065076,0.0,0.8342963970088376,31080
2020-12-30,20201230,2020,12,30,EVI,0.6999430656433105,0.6477055549621582,0.23621390759944916,0.521913468837738,0.9378297328948975,0.12378958612680435,1.4407457113265991,19277
2021-01-04,20210104,2021,1,4,EVI,0.3674206154903731,0.4499420198316686,0.31965876591638914,0.0,0.619592326332406,0.0,1.7550394390885193,31080
2021-02-23,20210223,2021,2,23,EVI,0.24726511080048974,0.26580362576081773,0.2170465721330314,0.0,0.4426800289004257,0.0,0.8044806517311608,31080
2021-03-10,20210310,2021,3,10,EVI,0.17912894158677597,0.1288283210256599,0.19136675434884262,0.0,0.329041893166814,0.0,0.8458134183041247,31080
2021-04-09,20210409,2021,4,9,EVI,0.1759498843770203,0.13579239164707607,0.1829900506161692,0.0,0.29924161819328665,0.0,0.8355263157894738,31080
2021-05-09,20210509,2021,5,9,EVI,0.18993857260240551,0.16468806649865148,0.18221857598755103,0.0,0.35287362762943325,0.0,0.7507794784580499,31080
2021-06-03,20210603,2021,6,3,EVI,0.24073729956991574,0.30387669072379864,0.20329093764253703,0.0,0.4127012592978073,0.0,0.6943051575931234,31080
2021-07-23,20210723,2021,7,23,EVI,0.2331090409312112,0.27863253351035444,0.20305443454925542,0.0,0.38979348925643564,0.0,0.7455832865956252,31080
2021-08-22,20210822,2021,8,22,EVI,0.2609569728374481,0.24787844717502594,0.07782786339521408,0.20272158086299896,0.3194662630558014,0.05790204927325249,0.5604655742645264,19277
2021-09-06,20210906,2021,9,6,EVI,0.15223822939738701,0.15278300116575966,0.14563315473022057,0.0,0.2301321586671352,0.0,0.6421602408327591,31080
2021-10-06,20211006,2021,10,6,EVI,0.16267732044761105,0.1218028404080994,0.16743376697162346,0.0,0.28651331018930715,0.0,0.6958090267116979,31080
2021-11-25,20211125,2021,11,25,EVI,0.32019826769828796,0.3289167284965515,0.14713503420352936,0.16389863193035126,0.43505263328552246,0.09915812313556671,0.7102025747299194,19277
2021-12-10,20211210,2021,12,10,EVI,0.24279371606143074,0.18065128355982457,0.23694294402144866,0.0,0.45639772049054717,0.0,0.8595900887121444,31080
2022-01-19,20220119,2022,1,19,EVI,0.37044881003218316,0.4341037058901669,0.31903432913220703,0.0,0.6572172662946614,-1.1334682254196649,2.8206997084548098,31080
2022-02-23,20220223,2022,2,23,EVI,0.5548503994941711,0.520146369934082,0.14859448373317719,0.4473356604576111,0.6655239462852478,0.10570716112852097,0.8815736174583435,19277
2022-03-05,20220305,2022,3,5,EVI,0.47706711292266846,0.48340439796447754,0.18554992973804474,0.32944613695144653,0.6073557734489441,0.12270645052194595,0.8358839154243469,19277
2022-04-04,20220404,2022,4,4,EVI,0.17957211779954813,0.11625390149100664,0.2072668263871046,0.0,0.31577313859332423,0.0,0.900178866263071,31080
2022-05-29,20220529,2022,5,29,EVI,0.18499497352656896,0.184448688760197,0.17074427703327333,0.0,0.3226038594640316,0.0,0.6558107644840591,31080
2022-06-23,20220623,2022,6,23,EVI,0.40021270513534546,0.41255491971969604,0.11370998620986938,0.33165988326072693,0.47800591588020325,0.09264463186264038,0.7176718711853027,19277
2022-07-03,20220703,2022,7,3,EVI,0.4158588945865631,0.4166984260082245,0.12528596818447113,0.3444966971874237,0.49358177185058594,0.10618899762630463,0.7670013308525085,19277
2022-08-02,20220802,2022,8,2,EVI,0.35087260603904724,0.35530218482017517,0.09475187212228775,0.27883243560791016,0.4200587272644043,0.06822506338357925,0.690389096736908,19277
2022-09-01,20220901,2022,9,1,EVI,0.19255585180327597,0.22593922881789982,0.16493794358524666,0.0,0.32994307977230375,0.0,0.6150536038876729,31080
2022-10-26,20221026,2022,10,26,EVI,0.18594745493089837,0.15357315576018715,0.17878066164610257,0.0,0.3270117911495113,0.0,0.7842145647321429,31080
2022-11-10,20221110,2022,11,10,EVI,0.19649865553831355,0.19106577124323174,0.1893324419584044,0.0,0.3168313547368439,0.0,0.857950974230044,31080
2022-12-10,20221210,2022,12,10,EVI,0.37483342174207684,0.4832021569216266,0.31486070123133797,0.0,0.6163425720853684,0.0,0.9462530917842104,31080
2023-02-08,20230208,2023,2,8,EVI,0.4361345326371327,0.5170105789426153,0.365511497428983,0.0,0.8140407233489534,0.0,0.932063535721653,31080
2023-03-25,20230325,2023,3,25,EVI,0.298221617937088,0.2330956608057022,0.16293580830097198,0.14634616672992706,0.45066267251968384,0.05381429195404053,0.7297651171684265,19277
2023-04-04,20230404,2023,4,4,EVI,0.20041855341590525,0.17342563091558447,0.19880634329985128,0.0,0.3649363302594611,0.0,0.7768153651271869,31080
2023-05-24,20230524,2023,5,24,EVI,0.21565896083620617,0.1921335959258677,0.19697192834887695,0.0,0.41032242082047765,0.0,0.7381172364233652,31080
2023-06-28,20230628,2023,6,28,EVI,0.2357880576913129,0.31375760646855055,0.19702832999175038,0.0,0.3952852783471195,0.0,0.7084757962929639,31080
2023-07-13,20230713,2023,7,13,EVI,0.23315953431489325,0.3106005461249286,0.19428856419754212,0.0,0.3889242321115107,0.0,0.7395409745675098,31080
2023-08-17,20230817,2023,8,17,EVI,0.2574027478694916,0.22634725272655487,0.09857785701751709,0.17626185715198517,0.34147894382476807,0.07324371486902237,0.5809938907623291,19277
2023-09-11,20230911,2023,9,11,EVI,0.1728179727825722,0.1275836545217917,0.16306976180418198,0.0,0.31836748076360266,0.0,0.6246721127182793,31080
2023-10-11,20231011,2023,10,11,EVI,0.22885396962896898,0.18782255500948672,0.21105636859212773,0.0,0.4357975147814867,0.0,0.7752222922355247,31080
2023-11-05,20231105,2023,11,5,EVI,0.1996057152540898,0.16598580881783503,0.20558181722366214,0.0,0.36066541076906444,0.0,0.8055170020818876,31080
2023-12-20,20231220,2023,12,20,EVI,0.28079741979501777,0.34895756879142137,0.2364995581543475,0.0,0.48521773143988317,0.0,0.8183322303110522,31080
2024-01-09,20240109,2024,1,9,EVI,0.29328029300381975,0.3857982384522007,0.2429513641566961,0.0,0.5014969278924183,0.0,0.8806762335364655,31080
2024-03-14,20240314,2024,3,14,EVI,0.3540816307067871,0.3325309455394745,0.15586896240711212,0.2077488750219345,0.48795878887176514,0.06946327537298203,1.543157935142517,19277
2024-04-28,20240428,2024,4,28,EVI,0.20077137059490202,0.1588977599891782,0.1996078287349732,0.0,0.3953552500474933,0.0,0.7195044472681067,31080
2024-05-13,20240513,2024,5,13,EVI,0.20992541737495474,0.1780214937641873,0.20265894017688557,0.0,0.3940487873759306,0.0,0.7359696080124332,31080
2024-06-07,20240607,2024,6,7,EVI,0.2329403898301414,0.27774308991610164,0.20158815514860287,0.0,0.40506791018390415,0.0,0.7178866372591289,31080
2024-07-22,20240722,2024,7,22,EVI,0.22954720884063728,0.28038225241151604,0.195626835149292,0.0,0.4013766895911562,0.0,0.7312592287352769,31080
2024-08-21,20240821,2024,8,21,EVI,0.35616567730903625,0.37753111124038696,0.09476771205663681,0.3096131682395935,0.418849378824234,0.059674106538295746,0.5999682545661926,19277
2024-09-30,20240930,2024,9,30,EVI,0.28592026233673096,0.24954400956630707,0.09815818071365356,0.21284127235412598,0.36834582686424255,0.0782010406255722,0.6148579716682434,19277
2024-10-05,20241005,2024,10,5,EVI,0.17158755154165248,0.19028468473528878,0.1612147862406224,0.0,0.2756029935530409,0.0,0.7247869318181819,31080
2024-11-19,20241119,2024,11,19,EVI,0.22986440706580175,0.21744672540439508,0.21712001935616027,0.0,0.4267187836227136,0.0,0.8282219279291838,31080
2025-01-08,20250108,2025,1,8,EVI,0.25356655349542584,0.29015995739290584,0.22157165393579337,0.0,0.4312746424952538,0.0,0.8308636019022675,31080
2025-02-17,20250217,2025,2,17,EVI,0.41117393139681696,0.48703136721145357,0.3482763174856491,0.0,0.7489224535791884,0.0,0.9591184716698181,31080
2025-03-09,20250309,2025,3,9,EVI,0.28501129420680554,0.33424547584178843,0.24744724206808769,0.0,0.47731404645417574,0.0,0.841328542022817,31080
2025-04-08,20250408,2025,4,8,EVI,0.19061737615482344,0.12935751279410015,0.20191451379274275,0.0,0.3491599906038642,0.0,0.7421370099095218,31080
2025-05-13,20250513,2025,5,13,EVI,0.2939204275608063,0.2633571922779083,0.15123502910137177,0.14921443164348602,0.42595773935317993,0.07290107011795044,0.7135381698608398,19277
2025-06-17,20250617,2025,6,17,EVI,0.3471658527851105,0.3572823703289032,0.11950033158063889,0.2543199956417084,0.43885546922683716,0.07470616698265076,0.7175729870796204,19277
2025-07-27,20250727,2025,7,27,EVI,0.2234008210240148,0.27815750469731904,0.1935750354850486,0.0,0.3922082345191078,0.0,0.6766196411450487,31080
2025-08-01,20250801,2025,8,1,EVI,0.23664560941885987,0.292333863938836,0.20298486464007215,0.0,0.4168891772119063,0.0,0.7141415500538213,31080
2025-09-15,20250915,2025,9,15,EVI,0.1408298639749228,0.12749839394390572,0.14443554892048566,0.0,0.2093481389671455,0.0,0.6269615093250605,31080
2025-10-05,20251005,2025,10,5,EVI,0.14185890212154306,0.11558993998505351,0.1503256830075956,0.0,0.210742572309048,0.0,0.6866160384588588,31080
2025-11-21,20251121,2025,11,21,EVI,0.1821589763535357,0.12694695051239574,0.19160120945205641,0.0,0.3488808525559468,0.0,0.7478913840350191,31080
2025-12-04,20251204,2025,12,4,EVI,0.17276621576803983,0.14330141616060196,0.17882853567964957,0.0,0.28328796566225567,0.0,0.7601968344155845,31080
2020-01-15,20200115,2020,1,15,NDMI,0.02926754392683506,0.0,0.13144448399543762,0.0,0.08011519908905029,-0.34453433752059937,0.49405771493911743,7952
2020-02-14,20200214,2020,2,14,NDMI,0.1868012547492981,0.2421543151140213,0.16513359546661377,0.0,0.32839566469192505,-0.28987619280815125,0.5264017581939697,7952
2020-03-25,20200325,2020,3,25,NDMI,0.2187390923500061,0.30438894033432007,0.18719050288200378,0.0,0.39445969462394714,-0.19256877899169922,0.5450342893600464,7952
2020-04-04,20200404,2020,4,4,NDMI,0.178119495511055,0.18715469539165497,0.16568908095359802,0.0,0.3439582586288452,-0.16816385090351105,0.5519615411758423,7952
2020-05-19,20200519,2020,5,19,NDMI,-0.02625194378197193,0.0,0.17845608294010162,-0.20294389128684998,0.0,-0.36075204610824585,0.4901749789714813,7952
2020-06-13,20200613,2020,6,13,NDMI,-0.052950505167245865,0.0,0.1890064775943756,-0.2410079687833786,0.0,-0.4280496835708618,0.47119465470314026,7881
2020-07-23,20200723,2020,7,23,NDMI,0.005604625213891268,0.0,0.14665056765079498,-0.06669381260871887,0.028236784040927887,-0.35776615142822266,0.4687057435512543,7952
2020-08-27,20200827,2020,8,27,NDMI,-0.02600356563925743,0.0,0.1468137502670288,-0.1370047628879547,0.0,-0.3335811197757721,0.40487271547317505,7952
2020-09-26,20200926,2020,9,26,NDMI,-0.0623256117105484,0.0,0.145344540476799,-0.22335216403007507,0.0,-0.31938794255256653,0.36054694652557373,7881
2020-10-01,20201001,2020,10,1,NDMI,-0.06581997871398926,0.0,0.15166573226451874,-0.22804109752178192,0.0,-0.33557048439979553,0.3723699748516083,7881
2020-11-25,20201125,2020,11,25,NDMI,0.0060521140694618225,0.0,0.13597601652145386,-0.057681605219841,0.015172597020864487,-0.26460376381874084,0.42038434743881226,7952
2020-12-30,20201230,2020,12,30,NDMI,0.18708325922489166,0.21757729351520538,0.17029345035552979,0.0,0.3555150330066681,-0.04132453724741936,0.5364701747894287,7881
2021-01-04,20210104,2021,1,4,NDMI,0.18461763858795166,0.21180130541324615,0.1608709990978241,0.0,0.3313489258289337,-0.0008354219025932252,0.5465511083602905,7952
2021-02-23,20210223,2021,2,23,NDMI,0.0887545570731163,0.002829037606716156,0.13044357299804688,0.0,0.2128785103559494,-0.27032339572906494,0.4285191297531128,7952
2021-03-10,20210310,2021,3,10,NDMI,-0.02040129341185093,0.0,0.20260778069496155,-0.20915943384170532,0.04746898263692856,-0.37110233306884766,0.45352113246917725,7952
2021-04-09,20210409,2021,4,9,NDMI,-0.01466944720596075,0.0,0.17609871923923492,-0.16701550781726837,0.0,-0.3112059533596039,0.458932489156723,7952
2021-05-09,20210509,2021,5,9,NDMI,0.0008865160634741187,0.0,0.16657714545726776,-0.11955645680427551,0.04465571045875549,-0.3092510998249054,0.45397287607192993,7952
2021-06-03,20210603,2021,6,3,NDMI,0.07184287905693054,0.0,0.12141784280538559,0.0,0.15367071330547333,-0.29345670342445374,0.43838489055633545,7952
2021-07-23,20210723,2021,7,23,NDMI,0.09296499937772751,0.006852605380117893,0.13809913396835327,0.0,0.18802030384540558,-0.21912167966365814,0.5497899055480957,7952
2021-08-22,20210822,2021,8,22,NDMI,-0.007798852864652872,0.0,0.11096998304128647,-0.07877844572067261,0.014617368578910828,-0.3042168617248535,0.3449462354183197,7881
2021-09-06,20210906,2021,9,6,NDMI,-0.03200734779238701,0.0,0.12391702830791473,-0.13225243985652924,0.0,-0.31913700699806213,0.37435898184776306,7952
2021-10-06,20211006,2021,10,6,NDMI,-0.0556279718875885,0.0,0.15341709554195404,-0.18898949027061462,0.0,-0.3471706211566925,0.37900930643081665,7952
2021-11-25,20211125,2021,11,25,NDMI,-0.01417937409132719,0.0,0.1440623700618744,-0.10034066438674927,0.0,-0.289438933134079,0.4073048233985901,7881
2021-12-10,20211210,2021,12,10,NDMI,0.035542599856853485,0.0,0.15373194217681885,0.0,0.15599983930587769,-0.25084927678108215,0.4950592815876007,7952
2022-01-19,20220119,2022,1,19,NDMI,0.17197826504707336,0.1965353786945343,0.15761993825435638,0.0,0.3086870312690735,-0.15240870416164398,0.4607555568218231,7952
2022-02-23,20220223,2022,2,23,NDMI,0.16247117519378662,0.1794871836900711,0.15066072344779968,0.0,0.2990173101425171,-0.13429084420204163,0.4287315905094147,7881
2022-03-05,20220305,2022,3,5,NDMI,0.10254102945327759,0.0,0.18042637407779694,0.0,0.29403358697891235,-0.300561785697937,0.43162718415260315,7881
2022-04-04,20220404,2022,4,4,NDMI,0.0015555041609331965,0.0,0.18995366990566254,-0.11901874840259552,0.0750715360045433,-0.3461366593837738,0.5726898312568665,7952
2022-05-29,20220529,2022,5,29,NDMI,0.00453672930598259,0.0,0.15097014605998993,-0.07596083730459213,0.020379293709993362,-0.35451602935791016,0.44553038477897644,7952
2022-06-23,20220623,2022,6,23,NDMI,0.08702518045902252,0.0,0.14832577109336853,0.0,0.20904645323753357,-0.29805615544319153,0.484175443649292,7881
2022-07-03,20220703,2022,7,3,NDMI,0.10192734748125076,0.021427307277917862,0.15342368185520172,0.0,0.23511706292629242,-0.28946682810783386,0.5086013674736023,7881
2022-08-02,20220802,2022,8,2,NDMI,0.05558902770280838,0.0,0.13533475995063782,0.0,0.13208378851413727,-0.24778760969638824,0.4349442422389984,7881
2022-09-01,20220901,2022,9,1,NDMI,0.020663682371377945,0.0,0.10923375189304352,-0.018738573417067528,0.041689883917570114,-0.22857142984867096,0.4024481773376465,7952
2022-10-26,20221026,2022,10,26,NDMI,-0.021499257534742355,0.0,0.14063145220279694,-0.11533930897712708,0.0,-0.2876579165458679,0.3904622197151184,7952
2022-11-10,20221110,2022,11,10,NDMI,-0.00865980889648199,0.0,0.14529980719089508,-0.13380475342273712,0.0,-0.24635358154773712,0.4406733512878418,7952
2022-12-10,20221210,2022,12,10,NDMI,0.14456523954868317,0.15801942348480225,0.13468869030475616,0.0,0.26713043451309204,-0.2372347116470337,0.47412586212158203,7952
2023-02-08,20230208,2023,2,8,NDMI,0.22520360350608826,0.32765117287635803,0.1847667098045349,0.0,0.3923053443431854,-0.09045848995447159,0.48254847526550293,7952
2023-03-25,20230325,2023,3,25,NDMI,-0.004253076855093241,0.0,0.1780155599117279,-0.17809849977493286,0.05931612104177475,-0.31273025274276733,0.44234800338745117,7881
2023-04-04,20230404,2023,4,4,NDMI,0.018796799704432487,0.0,0.1682320535182953,-0.10883601754903793,0.06501587480306625,-0.2853618562221527,0.44881492853164673,7952
2023-05-24,20230524,2023,5,24,NDMI,0.052574411034584045,0.0,0.15833058953285217,0.0,0.16921007633209229,-0.31888169050216675,0.48772114515304565,7952
2023-06-28,20230628,2023,6,28,NDMI,0.0920616164803505,0.034675776958465576,0.12565232813358307,0.0,0.17719899117946625,-0.2710728049278259,0.5243538618087769,7952
2023-07-13,20230713,2023,7,13,NDMI,0.10221000015735626,0.059143610298633575,0.1226450726389885,0.0,0.19383761286735535,-0.3425385057926178,0.5021722316741943,7952
2023-08-17,20230817,2023,8,17,NDMI,-0.02560894377529621,0.0,0.1339327096939087,-0.14239779114723206,0.0,-0.2852250635623932,0.42616263031959534,7881
2023-09-11,20230911,2023,9,11,NDMI,-0.02401973307132721,0.0,0.13611260056495667,-0.07145240157842636,0.0,-0.33135947585105896,0.37230604887008667,7952
2023-10-11,20231011,2023,10,11,NDMI,0.03305541351437569,0.0,0.14859727025032043,0.0,0.14279088377952576,-0.313296914100647,0.3899048864841461,7952
2023-11-05,20231105,2023,11,5,NDMI,-0.005655222572386265,0.0,0.1722402274608612,-0.1680193543434143,0.032852645963430405,-0.2831445634365082,0.4687451422214508,7952
2023-12-20,20231220,2023,12,20,NDMI,0.08296727389097214,0.0,0.12738555669784546,0.0,0.17403653264045715,-0.1832953691482544,0.44035986065864563,7952
2024-01-09,20240109,2024,1,9,NDMI,0.11937040835618973,0.0846061185002327,0.1310802847146988,0.0,0.22862042486667633,-0.13928571343421936,0.4654850661754608,7952
2024-03-14,20240314,2024,3,14,NDMI,0.016489583998918533,0.0,0.17805485427379608,-0.08828338235616684,0.12349727004766464,-0.34110429883003235,0.4902608096599579,7881
2024-04-28,20240428,2024,4,28,NDMI,0.009006748907268047,0.0,0.17922744154930115,-0.13565409183502197,0.12296853959560394,-0.3209240436553955,0.4454348385334015,7952
2024-05-13,20240513,2024,5,13,NDMI,0.032584935426712036,0.0,0.17852047085762024,-0.08250769227743149,0.14406558871269226,-0.31113019585609436,0.5039661526679993,7952
2024-06-07,20240607,2024,6,7,NDMI,0.061688754707574844,0.0,0.14304903149604797,0.0,0.13102024793624878,-0.29232537746429443,0.49972572922706604,7952
2024-07-22,20240722,2024,7,22,NDMI,0.07305838912725449,0.0,0.13180382549762726,0.0,0.14432494342327118,-0.22951628267765045,0.5251215696334839,7952
2024-08-21,20240821,2024,8,21,NDMI,0.054000794887542725,0.0,0.12314019352197647,0.0,0.11911357194185257,-0.29757949709892273,0.47267064452171326,7881
2024-09-30,20240930,2024,9,30,NDMI,-0.02183992601931095,0.0,0.12464389950037003,-0.13015489280223846,0.0,-0.25831860303878784,0.3888566493988037,7881
2024-10-05,20241005,2024,10,5,NDMI,-0.03133569657802582,0.0,0.1336042284965515,-0.12609750032424927,0.0,-0.40182116627693176,0.3659266531467438,7952
2024-11-19,20241119,2024,11,19,NDMI,0.01609147898852825,0.0,0.15900106728076935,-0.03631813824176788,0.1119183897972107,-0.35413891077041626,0.48980912566185,7952
2025-01-08,20250108,2025,1,8,NDMI,0.03665299341082573,0.0,0.1326550990343094,-0.023370053619146347,0.06530329585075378,-0.2647187113761902,0.5180962085723877,7952
2025-02-17,20250217,2025,2,17,NDMI,0.2062055915594101,0.2636403739452362,0.1818636953830719,0.0,0.38523828983306885,-0.14092044532299042,0.4790385663509369,7952
2025-03-09,20250309,2025,3,9,NDMI,0.11886754631996155,0.06744645535945892,0.13813234865665436,0.0,0.23103226721286774,-0.14476385712623596,0.48974835872650146,7952
2025-04-08,20250408,2025,4,8,NDMI,-0.005784272216260433,0.0,0.18779675662517548,-0.17155058681964874,0.04512166231870651,-0.32762646675109863,0.5014409422874451,7952
2025-05-13,20250513,2025,5,13,NDMI,-0.02007352188229561,0.0,0.18994511663913727,-0.1527244746685028,0.0,-0.36013463139533997,0.506303608417511,7881
2025-06-17,20250617,2025,6,17,NDMI,0.0584474541246891,0.0,0.17219452559947968,0.0,0.19086189568042755,-0.335096150636673,0.5447648167610168,7881
2025-07-27,20250727,2025,7,27,NDMI,0.0743255689740181,0.0,0.13939110934734344,0.0,0.16815488040447235,-0.3249090611934662,0.5199127197265625,7952
2025-08-01,20250801,2025,8,1,NDMI,0.07951338589191437,0.018874522298574448,0.13274693489074707,0.0,0.1694602221250534,-0.2944616973400116,0.49660927057266235,7952
2025-09-15,20250915,2025,9,15,NDMI,-0.047335051000118256,0.0,0.1419096440076828,-0.15994897484779358,0.0,-0.30209481716156006,0.41224488615989685,7952
2025-10-05,20251005,2025,10,5,NDMI,-0.06940946727991104,0.0,0.1532137244939804,-0.23310309648513794,0.0,-0.3079441785812378,0.4035928249359131,7952
2025-11-21,20251121,2025,11,21,NDMI,-0.02715504914522171,0.0,0.15521202981472015,-0.17013785243034363,0.011585582047700882,-0.308904230594635,0.41339001059532166,7952
2025-12-04,20251204,2025,12,4,NDMI,-0.02908085659146309,0.0,0.15419864654541016,-0.14097191393375397,0.0,-0.3020867705345154,0.45478442311286926,7952
2020-01-15,20200115,2020,1,15,NDVI,0.3091649115085602,0.2631451487541199,0.29313427209854126,0.0,0.5681650042533875,0.0,0.903933584690094,31080
2020-02-14,20200214,2020,2,14,NDVI,0.503374457359314,0.7663164734840393,0.40226462483406067,0.0,0.8511655330657959,0.0,0.9449400305747986,31080
2020-03-25,20200325,2020,3,25,NDVI,0.5224431157112122,0.8201895952224731,0.413786917924881,0.0,0.8716064095497131,0.0,0.9324124455451965,31080
2020-04-04,20200404,2020,4,4,NDVI,0.461980402469635,0.5547710657119751,0.38006940484046936,0.0,0.8492704629898071,0.0,0.9350427389144897,31080
2020-05-19,20200519,2020,5,19,NDVI,0.30003029108047485,0.22421199083328247,0.3043120205402374,0.0,0.520728588104248,0.0,0.9087527990341187,31080
2020-06-13,20200613,2020,6,13,NDVI,0.28774166107177734,0.2583547532558441,0.2889784872531891,0.0,0.49366265535354614,0.0,0.8811435699462891,31020
2020-07-23,20200723,2020,7,23,NDVI,0.3374239504337311,0.3581867814064026,0.3030993342399597,0.0,0.5832226872444153,0.0,0.8873730301856995,31080
2020-08-27,20200827,2020,8,27,NDVI,0.3142206370830536,0.2951064109802246,0.2932034730911255,0.0,0.531315267086029,0.0,0.8877509236335754,31080
2020-09-26,20200926,2020,9,26,NDVI,0.25029444694519043,0.2075793743133545,0.2578255236148834,0.0,0.4104063808917999,0.0,0.8519095778465271,31020
2020-10-01,20201001,2020,10,1,NDVI,0.24931521713733673,0.200800359249115,0.2598532438278198,0.0,0.4068819284439087,0.0,0.8642392754554749,31020
2020-11-25,20201125,2020,11,25,NDVI,0.33100977540016174,0.2809351086616516,0.3054537773132324,0.0,0.5735566020011902,0.0,0.8973398208618164,31080
2020-12-30,20201230,2020,12,30,NDVI,0.4581693708896637,0.5845720767974854,0.40111956000328064,0.0,0.8589251637458801,0.0,0.9531368017196655,31020
2021-01-04,20210104,2021,1,4,NDVI,0.42760026454925537,0.5557756423950195,0.35609322786331177,0.0,0.7442506551742554,0.0,0.9491878151893616,31080
2021-02-23,20210223,2021,2,23,NDVI,0.3942444622516632,0.45199888944625854,0.3346700966358185,0.0,0.7178053855895996,0.0,0.9003994464874268,31080
2021-03-10,20210310,2021,3,10,NDVI,0.32832813262939453,0.28057554364204407,0.32158780097961426,0.0,0.6068367958068848,0.0,0.9169940948486328,31080
2021-04-09,20210409,2021,4,9,NDVI,0.2953122556209564,0.21739129722118378,0.3121315538883209,0.0,0.5021347999572754,0.0,0.9197179079055786,31080
2021-05-09,20210509,2021,5,9,NDVI,0.32050779461860657,0.2724302113056183,0.3097469210624695,0.0,0.5954833030700684,0.0,0.8967616558074951,31080
2021-06-03,20210603,2021,6,3,NDVI,0.4185100793838501,0.5449671745300293,0.3450283110141754,0.0,0.7363867163658142,0.0,0.8966292142868042,31080
2021-07-23,20210723,2021,7,23,NDVI,0.40400058031082153,0.504330039024353,0.3376321494579315,0.0,0.7254692912101746,0.0,0.9107224941253662,31080
2021-08-22,20210822,2021,8,22,NDVI,0.3030657470226288,0.3520517945289612,0.2651340365409851,0.0,0.49716076254844666,0.0,0.8471894860267639,31020
2021-09-06,20210906,2021,9,6,NDVI,0.2705884873867035,0.2756539583206177,0.25506097078323364,0.0,0.4068315327167511,0.0,0.8355630040168762,31080
2021-10-06,20211006,2021,10,6,NDVI,0.2698405086994171,0.2089192271232605,0.27074670791625977,0.0,0.4829440116882324,0.0,0.8584070801734924,31080
