,NDVI,EVI,NDMI
NDVI,1.0,0.8990505795015098,0.9121668727051926
EVI,0.8990505795015097,0.9999999999999999,0.8360258485283937
NDMI,0.9121668727051927,0.8360258485283937,1.0
