indice,,data,data_str,ano,mes,media,mediana,std,n_pixels,media_sazonal,std_sazonal,n,anomalia,z_score,classificacao
NDVI,0,2020-01-15,20200115,2020,1,0.3091649115085602,0.2631451487541199,0.29313427209854126,31080,0.4142276346683502,0.07952013611793518,5,-0.10506272315979004,-1.3212090730667114,Abaixo
NDVI,1,2020-02-14,20200214,2020,2,0.503374457359314,0.7663164734840393,0.40226462483406067,31080,0.4860784411430359,0.057023826986551285,5,0.017296016216278076,0.3033120930194855,Normal
NDVI,2,2020-03-25,20200325,2020,3,0.5224431157112122,0.8201895952224731,0.413786917924881,31080,0.3904310464859009,0.08318137377500534,6,0.13201206922531128,1.5870388746261597,Muito acima
NDVI,3,2020-04-04,20200404,2020,4,0.461980402469635,0.5547710657119751,0.38006940484046936,31080,0.3378831446170807,0.06270910799503326,6,0.12409725785255432,1.9789351224899292,Muito acima
NDVI,4,2020-05-19,20200519,2020,5,0.30003029108047485,0.22421199083328247,0.3043120205402374,31080,0.3319261074066162,0.02708742395043373,6,-0.03189581632614136,-1.177513837814331,Abaixo
NDVI,5,2020-06-13,20200613,2020,6,0.28758230805397034,0.2582893371582031,0.28897374868392944,31080,0.38508275151252747,0.05012533441185951,6,-0.09750044345855713,-1.9451329708099365,Muito abaixo
NDVI,6,2020-07-23,20200723,2020,7,0.3374239504337311,0.3581867814064026,0.3030993342399597,31080,0.39693525433540344,0.03443332388997078,6,-0.05951130390167236,-1.7283055782318115,Muito abaixo
NDVI,7,2020-08-27,20200827,2020,8,0.3142206370830536,0.2951064109802246,0.2932034730911255,31080,0.343820720911026,0.040282249450683594,6,-0.029600083827972412,-0.7348170280456543,Abaixo
NDVI,8,2020-09-26,20200926,2020,9,0.25014472007751465,0.2075570821762085,0.2578009068965912,31080,0.28326478600502014,0.039377856999635696,6,-0.03312006592750549,-0.8410835266113281,Abaixo
NDVI,9,2020-10-01,20201001,2020,10,0.24917256832122803,0.20068317651748657,0.25983744859695435,31080,0.2864169776439667,0.04321388900279999,6,-0.03724440932273865,-0.8618620038032532,Abaixo
NDVI,10,2020-11-25,20201125,2020,11,0.33100977540016174,0.2809351086616516,0.3054537773132324,31080,0.3122521936893463,0.02567664533853531,6,0.01875758171081543,0.730530858039856,Acima
NDVI,11,2020-12-30,20201230,2020,12,0.4579038619995117,0.5836687684059143,0.40114665031433105,31080,0.3927469253540039,0.09048926085233688,5,0.06515693664550781,0.7200515866279602,Acima
NDVI,12,2021-01-04,20210104,2021,1,0.42760026454925537,0.5557756423950195,0.35609322786331177,31080,0.4142276346683502,0.07952013611793518,5,0.013372629880905151,0.16816659271717072,Normal
NDVI,13,2021-02-23,20210223,2021,2,0.3942444622516632,0.45199888944625854,0.3346700966358185,31080,0.4860784411430359,0.057023826986551285,5,-0.09183397889137268,-1.610449194908142,Muito abaixo
NDVI,14,2021-03-10,20210310,2021,3,0.32832813262939453,0.28057554364204407,0.32158780097961426,31080,0.3904310464859009,0.08318137377500534,6,-0.06210291385650635,-0.7465963959693909,Abaixo
NDVI,15,2021-04-09,20210409,2021,4,0.2953122556209564,0.21739129722118378,0.3121315538883209,31080,0.3378831446170807,0.06270910799503326,6,-0.04257088899612427,-0.6788629293441772,Abaixo
NDVI,16,2021-05-09,20210509,2021,5,0.32050779461860657,0.2724302113056183,0.3097469210624695,31080,0.3319261074066162,0.02708742395043373,6,-0.011418312788009644,-0.42153558135032654,Normal
NDVI,17,2021-06-03,20210603,2021,6,0.4185100793838501,0.5449671745300293,0.3450283110141754,31080,0.38508275151252747,0.05012533441185951,6,0.03342732787132263,0.666874885559082,Acima
NDVI,18,2021-07-23,20210723,2021,7,0.40400058031082153,0.504330039024353,0.3376321494579315,31080,0.39693525433540344,0.03443332388997078,6,0.007065325975418091,0.20518861711025238,Normal
NDVI,19,2021-08-22,20210822,2021,8,0.3029099404811859,0.35194581747055054,0.2651446461677551,31080,0.343820720911026,0.040282249450683594,6,-0.04091078042984009,-1.0156031847000122,Abaixo
NDVI,20,2021-09-06,20210906,2021,9,0.2705884873867035,0.2756539583206177,0.25506097078323364,31080,0.28326478600502014,0.039377856999635696,6,-0.01267629861831665,-0.3219143748283386,Normal
NDVI,21,2021-10-06,20211006,2021,10,0.2698405086994171,0.2089192271232605,0.27074670791625977,31080,0.2864169776439667,0.04321388900279999,6,-0.01657646894454956,-0.3835912346839905,Normal
NDVI,22,2021-11-25,20211125,2021,11,0.29409047961235046,0.22811223566532135,0.28585973381996155,31080,0.3122521936893463,0.02567664533853531,6,-0.01816171407699585,-0.7073242664337158,Abaixo
NDVI,23,2021-12-10,20211210,2021,12,0.36009645462036133,0.2806229591369629,0.3373071253299713,31080,0.3927469253540039,0.09048926085233688,5,-0.03265047073364258,-0.3608214855194092,Normal
NDVI,24,2022-01-19,20220119,2022,1,0.5208001732826233,0.7862428426742554,0.416891872882843,31080,0.4142276346683502,0.07952013611793518,5,0.10657253861427307,1.340195655822754,Acima
NDVI,25,2022-02-23,20220223,2022,2,0.471048504114151,0.6588844060897827,0.37990960478782654,31080,0.4860784411430359,0.057023826986551285,5,-0.015029937028884888,-0.26357293128967285,Normal
NDVI,26,2022-03-05,20220305,2022,3,0.4314550459384918,0.4642658531665802,0.36668044328689575,31080,0.3904310464859009,0.08318137377500534,6,0.04102399945259094,0.4931873381137848,Normal
NDVI,27,2022-04-04,20220404,2022,4,0.3062790334224701,0.2108829915523529,0.3211734890937805,31080,0.3378831446170807,0.06270910799503326,6,-0.031604111194610596,-0.5039796233177185,Abaixo
NDVI,28,2022-05-29,20220529,2022,5,0.32528695464134216,0.3135303854942322,0.30195340514183044,31080,0.3319261074066162,0.02708742395043373,6,-0.006639152765274048,-0.2451009303331375,Normal
NDVI,29,2022-06-23,20220623,2022,6,0.4125826954841614,0.5158730149269104,0.34718015789985657,31080,0.38508275151252747,0.05012533441185951,6,0.02749994397163391,0.5486236214637756,Acima
NDVI,30,2022-07-03,20220703,2022,7,0.4190019965171814,0.5386452674865723,0.35105544328689575,31080,0.39693525433540344,0.03443332388997078,6,0.022066742181777954,0.6408542394638062,Acima
NDVI,31,2022-08-02,20220802,2022,8,0.37896621227264404,0.45830386877059937,0.32137686014175415,31080,0.343820720911026,0.040282249450683594,6,0.03514549136161804,0.8724808692932129,Acima
NDVI,32,2022-09-01,20220901,2022,9,0.33637499809265137,0.4040723443031311,0.28709790110588074,31080,0.28326478600502014,0.039377856999635696,6,0.053110212087631226,1.3487329483032227,Acima
NDVI,33,2022-10-26,20221026,2022,10,0.30785465240478516,0.2500968873500824,0.2955787479877472,31080,0.2864169776439667,0.04321388900279999,6,0.02143767476081848,0.49608299136161804,Normal
NDVI,34,2022-11-10,20221110,2022,11,0.2962489128112793,0.28228986263275146,0.2858346104621887,31080,0.3122521936893463,0.02567664533853531,6,-0.016003280878067017,-0.6232621669769287,Abaixo
NDVI,35,2022-12-10,20221210,2022,12,0.4838598370552063,0.7251729369163513,0.3855881989002228,31080,0.3927469253540039,0.09048926085233688,5,0.09111291170120239,1.0068919658660889,Acima
NDVI,36,2023-02-08,20230208,2023,2,0.5351709723472595,0.8290689587593079,0.4225867986679077,31080,0.4860784411430359,0.057023826986551285,5,0.04909253120422363,0.8609126210212708,Acima
NDVI,37,2023-03-25,20230325,2023,3,0.3039780855178833,0.2070847749710083,0.3198402225971222,31080,0.3904310464859009,0.08318137377500534,6,-0.08645296096801758,-1.0393307209014893,Abaixo
NDVI,38,2023-04-04,20230404,2023,4,0.32269546389579773,0.2568886876106262,0.32787299156188965,31080,0.3378831446170807,0.06270910799503326,6,-0.015187680721282959,-0.2421925812959671,Normal
NDVI,39,2023-05-24,20230524,2023,5,0.37502527236938477,0.34263747930526733,0.3361893594264984,31080,0.3319261074066162,0.02708742395043373,6,0.043099164962768555,1.5911134481430054,Muito acima
NDVI,40,2023-06-28,20230628,2023,6,0.41474905610084534,0.5695205330848694,0.3398483097553253,31080,0.38508275151252747,0.05012533441185951,6,0.02966630458831787,0.591842532157898,Acima
NDVI,41,2023-07-13,20230713,2023,7,0.43875041604042053,0.602774977684021,0.356560081243515,31080,0.39693525433540344,0.03443332388997078,6,0.04181516170501709,1.2143806219100952,Acima
NDVI,42,2023-08-17,20230817,2023,8,0.31297042965888977,0.3437141180038452,0.28238680958747864,31080,0.343820720911026,0.040282249450683594,6,-0.03085029125213623,-0.765853226184845,Abaixo
NDVI,43,2023-09-11,20230911,2023,9,0.31690043210983276,0.2566368281841278,0.29566752910614014,31080,0.28326478600502014,0.039377856999635696,6,0.03363564610481262,0.8541766405105591,Acima
NDVI,44,2023-10-11,20231011,2023,10,0.35719388723373413,0.3014320135116577,0.32537880539894104,31080,0.2864169776439667,0.04321388900279999,6,0.07077690958976746,1.6378278732299805,Muito acima
NDVI,45,2023-11-05,20231105,2023,11,0.30813518166542053,0.2625839412212372,0.3124309778213501,31080,0.3122521936893463,0.02567664533853531,6,-0.004117012023925781,-0.16034072637557983,Normal
NDVI,46,2023-12-20,20231220,2023,12,0.4067637324333191,0.49473434686660767,0.34256431460380554,31080,0.3927469253540039,0.09048926085233688,5,0.014016807079315186,0.1549002230167389,Normal
NDVI,47,2024-01-09,20240109,2024,1,0.44289982318878174,0.6057724952697754,0.36090701818466187,31080,0.4142276346683502,0.07952013611793518,5,0.02867218852043152,0.3605651259422302,Normal
NDVI,48,2024-03-14,20240314,2024,3,0.33428752422332764,0.3431372344493866,0.2993565499782562,31080,0.3904310464859009,0.08318137377500534,6,-0.05614352226257324,-0.674953043460846,Abaixo
NDVI,49,2024-04-28,20240428,2024,4,0.3380802273750305,0.2965165972709656,0.32572564482688904,31080,0.3378831446170807,0.06270910799503326,6,0.0001970827579498291,0.0031428090296685696,Normal
NDVI,50,2024-05-13,20240513,2024,5,0.3526131510734558,0.30815520882606506,0.3317863643169403,31080,0.3319261074066162,0.02708742395043373,6,0.0206870436668396,0.7637139558792114,Acima
NDVI,51,2024-06-07,20240607,2024,6,0.4003436863422394,0.49940919876098633,0.33875593543052673,31080,0.38508275151252747,0.05012533441185951,6,0.015260934829711914,0.3044555187225342,Normal
NDVI,52,2024-07-22,20240722,2024,7,0.39545509219169617,0.5138621926307678,0.32866519689559937,31080,0.39693525433540344,0.03443332388997078,6,-0.0014801621437072754,-0.04298632591962814,Normal
NDVI,53,2024-08-21,20240821,2024,8,0.35259509086608887,0.4570003151893616,0.29542720317840576,31080,0.343820720911026,0.040282249450683594,6,0.008774369955062866,0.21782223880290985,Normal
NDVI,54,2024-09-30,20240930,2024,9,0.29198741912841797,0.3293974697589874,0.26235976815223694,31080,0.28326478600502014,0.039377856999635696,6,0.008722633123397827,0.221511110663414,Normal
NDVI,55,2024-10-05,20241005,2024,10,0.29432448744773865,0.3273777961730957,0.2695876359939575,31080,0.2864169776439667,0.04321388900279999,6,0.007907509803771973,0.18298538029193878,Normal
NDVI,56,2024-11-19,20241119,2024,11,0.35480996966362,0.36383357644081116,0.32364046573638916,31080,0.3122521936893463,0.02567664533853531,6,0.04255777597427368,1.657450795173645,Muito acima
NDVI,57,2025-01-08,20250108,2025,1,0.3706730306148529,0.42258745431900024,0.3196397125720978,31080,0.4142276346683502,0.07952013611793518,5,-0.043554604053497314,-0.5477179288864136,Abaixo
NDVI,58,2025-02-17,20250217,2025,2,0.5265538692474365,0.8013647794723511,0.42012819647789,31080,0.4860784411430359,0.057023826986551285,5,0.040475428104400635,0.7097985148429871,Acima
NDVI,59,2025-03-09,20250309,2025,3,0.4220944344997406,0.5171058177947998,0.3529549539089203,31080,0.3904310464859009,0.08318137377500534,6,0.03166338801383972,0.38065478205680847,Normal
NDVI,60,2025-04-08,20250408,2025,4,0.3029514253139496,0.20651011168956757,0.3188419044017792,31080,0.3378831446170807,0.06270910799503326,6,-0.034931719303131104,-0.5570437908172607,Abaixo
NDVI,61,2025-05-13,20250513,2025,5,0.31809312105178833,0.25150036811828613,0.31768447160720825,31080,0.3319261074066162,0.02708742395043373,6,-0.01383298635482788,-0.510679304599762,Abaixo
NDVI,62,2025-06-17,20250617,2025,6,0.37672868371009827,0.3878682851791382,0.33481457829475403,31080,0.38508275151252747,0.05012533441185951,6,-0.0083540678024292,-0.16666358709335327,Normal
NDVI,63,2025-07-27,20250727,2025,7,0.3869796097278595,0.5160238146781921,0.3289084732532501,31080,0.39693525433540344,0.03443332388997078,6,-0.009955644607543945,-0.2891281843185425,Normal
NDVI,64,2025-08-01,20250801,2025,8,0.4012620449066162,0.5405091047286987,0.3371489644050598,31080,0.343820720911026,0.040282249450683594,6,0.05744132399559021,1.4259711503982544,Acima
NDVI,65,2025-09-15,20250915,2025,9,0.2335927039384842,0.19543838500976562,0.24469128251075745,31080,0.28326478600502014,0.039377856999635696,6,-0.04967208206653595,-1.2614216804504395,Abaixo
NDVI,66,2025-10-05,20251005,2025,10,0.24011576175689697,0.18955819308757782,0.2567189037799835,31080,0.2864169776439667,0.04321388900279999,6,-0.0463012158870697,-1.07144296169281,Abaixo
NDVI,67,2025-11-21,20251121,2025,11,0.28921881318092346,0.22326314449310303,0.29508113861083984,31080,0.3122521936893463,0.02567664533853531,6,-0.02303338050842285,-0.8970556855201721,Abaixo
