Índice,N válidos,N NaN,Mín,P25,Mediana,Média,P75,Máx,Desv Pad
NDVI,19358,11722,0.13003854,0.3751991,0.48944825,0.541631,0.749393,0.8993997,0.20338735
EVI,31080,0,0.0,0.0,0.2192684,0.20123832,0.3369856,0.68180776,0.18401226
NDMI,19780,11300,-0.2800272,-0.13788557,-0.025009118,0.020360513,0.18119994,0.46467596,0.1898133
