,NDVI,EVI,NDMI
NDVI,1.0,0.9313155431824932,0.9537174086412379
EVI,0.9313155431824932,0.9999999999999999,0.9013083549927363
NDMI,0.9537174086412379,0.9013083549927363,1.0
