,NDVI,EVI,NDMI
NDVI,0.9999999999999999,0.9333642257895199,0.9365457408936654
EVI,0.9333642257895199,1.0,0.8930648143937984
NDMI,0.9365457408936653,0.8930648143937984,0.9999999999999999
