Índice,N válidos,N NaN,Mín,P25,Mediana,Média,P75,Máx,Desv Pad
NDVI,19358,11722,0.15100828,0.5172245,0.6049268,0.6176987,0.7575673,0.8767458,0.14681323
EVI,19358,11722,0.0,0.3065782,0.37565893,0.37293643,0.43945074,0.6582459,0.09576275
NDMI,19336,11744,-0.24830088,0.006524818,0.093090415,0.09938768,0.20511015,0.42348927,0.13863179
