Índice,N válidos,N NaN,Mín,P25,Mediana,Média,P75,Máx,Desv Pad
NDVI,19358,11722,0.13264605,0.4336111,0.50665456,0.56829065,0.7603249,0.8747165,0.16821507
EVI,19358,11722,0.0,0.25778326,0.30263954,0.3352338,0.42138588,0.69246906,0.10448712
NDMI,19336,11744,-0.22657138,-0.11168456,-0.0274015,0.039985742,0.20470491,0.44027638,0.17444548
