Índice,N válidos,N NaN,Mín,P25,Mediana,Média,P75,Máx,Desv Pad
NDVI,19358,11722,0.10530709,0.42588693,0.5878222,0.5888614,0.7867789,0.89053094,0.19045882
EVI,19358,11722,0.0,0.24431722,0.34331638,0.33953664,0.42959914,0.6892348,0.11940681
NDMI,19336,11744,-0.24039723,-0.080256216,0.05455386,0.060642537,0.22243549,0.43339586,0.1742433
