mes,media,std,n
1,0.3015449765790158,0.06638059370209973,5
2,0.40311986140632483,0.11161607661514795,5
3,0.32899769487595376,0.1005448574397855,6
4,0.20919780439324223,0.04941691636604911,6
5,0.20836482156360572,0.046966662161651164,6
6,0.28095971130881,0.07386130999548632,6
7,0.25408619346565037,0.08095806597633771,6
8,0.2719252403018913,0.07126615198022924,6
9,0.1957447805110444,0.05432609190082984,6
10,0.18752406287134496,0.037007352304274634,6
11,0.22385100515373205,0.04995087456824069,6
12,0.35422676780197515,0.20656809948121485,5
