indice,ano,media,mediana,std,min,max,n_datas
EVI,2020,0.2833483187691137,0.19256185336163748,0.20028293672819872,0.0,1.4407457113265991,12
EVI,2021,0.2310344976500297,0.21426486536742526,0.18954990454298434,0.0,1.7550394390885193,12
EVI,2022,0.32364275029588835,0.3839285522699356,0.18440411841346058,-1.1334682254196649,2.8206997084548098,12
EVI,2023,0.25080537110569806,0.22634725272655487,0.20275707585089203,0.0,0.932063535721653,11
EVI,2024,0.25640842086044635,0.26364354974120435,0.1769562784140635,0.0,1.543157935142517,10
EVI,2025,0.23992631868839207,0.2707573484876137,0.19597466376243264,0.0,0.9591184716698181,12
NDMI,2020,0.04819298166936884,0.0,0.15947202344735464,-0.4280496835708618,0.5519615411758423,12
NDMI,2021,0.027493741896857198,0.0,0.1485178011159102,-0.37110233306884766,0.5497899055480957,12
NDMI,2022,0.06855784285774764,0.0,0.14971406385302544,-0.35451602935791016,0.5726898312568665,12
NDMI,2023,0.049757467455823316,0.0,0.15053733438253403,-0.3425385057926178,0.5243538618087769,11
NDMI,2024,0.03291154718026519,0.0,0.14821252971887589,-0.40182116627693176,0.5251215696334839,10
NDMI,2025,0.03126452684712907,0.0,0.15660496925314268,-0.36013463139533997,0.5447648167610168,12
NDVI,2020,0.3604306864241759,0.2880207598209381,0.3252583866318067,0.0,0.9531368017196655,12
NDVI,2021,0.34052890787522,0.2805992513895035,0.3109172234932582,0.0,0.9491878151893616,12
NDVI,2022,0.39090799043575924,0.4618719667196274,0.3383423462510109,0.0,0.9551950693130493,12
NDVI,2023,0.3720610602335496,0.34263747930526733,0.3328470669009469,0.0,0.9319519996643066,11
NDVI,2024,0.3557887613773346,0.35359053313732147,0.3136132150888443,0.0,0.927749752998352,10
NDVI,2025,0.34364160771171254,0.31994080543518066,0.31619569410880405,0.0,0.9500674605369568,12
