mes,media,std,n
1,0.41422763,0.079520136,5
2,0.48607844,0.057023827,5
3,0.39043105,0.083181374,6
4,0.33788314,0.06270911,6
5,0.3319261,0.027087424,6
6,0.38508275,0.050125334,6
7,0.39693525,0.034433324,6
8,0.34382072,0.04028225,6
9,0.2832648,0.039377857,6
10,0.28641698,0.04321389,6
11,0.3122522,0.025676645,6
12,0.39274693,0.09048926,5
