Índice,N válidos,N NaN,Mín,P25,Mediana,Média,P75,Máx,Desv Pad
NDVI,19358,11722,0.112133965,0.38529545,0.49456045,0.5425483,0.73673725,0.88747346,0.18613093
EVI,19358,11722,0.0,0.23918912,0.31214982,0.32045558,0.4016341,0.65323204,0.106955476
NDMI,19336,11744,-0.28406823,-0.11149795,-0.03207474,0.017101217,0.16788048,0.42527258,0.17379367
